branch,head_sha,last_commit_date,last_author,commits_not_in_main,libero_relevance,coast_relevance,inspected_deeply,notes
upstream/main,2afa10e,2026-06-01,Brandon Yang,0,high,high,yes,"Released code. Steering merged 2026-06-01 (#50), after paper submission; LIBERO --seed offset semantics since #48 (2026-04-23). Our baseline of all prior phases."
upstream/miranda-v2,d5ae9c8,2026-05-02,Muqing Miao,13,high,high,yes,"Author research branch with cluster paths /vast/projects/ungar/stellar/miaom/. Contains experiments/pi05_libero/src (2026-04-13) sweep pipeline, for_subin builder (2026-04-15), shared/oracle_gap_table.py whose caption matches paper Table 15, make_45ep_latex.py/submit_45ep_all.sh. Primary candidate."
upstream/miranda-groot,df5cca1,2026-04-16,Muqing Miao,13,medium,high,yes,"Shares 2fdc5ad/117524d with miranda-v2; pi05_libero/src/conceptor_steering.py is the 2fdc5ad blob (0cc0cdd). GR00T RoboCasa scripts. No LIBERO result artifacts."
upstream/miranda-groot-droid,622b06f,2026-04-16,Subin Kim,14,medium,high,yes,"Merge of miranda-v2@29059a5 into miranda-groot + DROID steering. pi05_libero files identical to miranda-v2@29059a5. No LIBERO result artifacts."
upstream/steering-refactor,8447aca,2026-04-24,Brandon Yang,39,high,high,yes,"Engineering refactor (4df91bd conceptor pipeline, c19ac52 --steer flag) that became main's steering via #50. Token-flattened/uncentered builder; per-step alpha fixed 1.0. Not the Table 4 generator."
upstream/copilot/steering-refactor-research,8447aca,2026-04-24,Brandon Yang,39,high,high,yes,"Same HEAD as steering-refactor."
upstream/conceptor-experiments,9d91d4e,2026-04-02,Miranda Miao,2,none,high,yes,"Early pi0.5 MetaWorld conceptor experiment (token-flattened, uncentered, non-canonical AND). No LIBERO."
upstream/miranda,bfb757b,2026-04-10,Miranda Miao,4,none,high,yes,"26-task MetaWorld steering results + mech-interp tex (committed results are MetaWorld only). No LIBERO."
upstream/worktree-libero-integration,f1b4e54,2026-04-09,Muqing Miao,15,high,low,yes,"LIBERO client scaffold (initial_states[episode]) + Miranda's train_libero.sh (exp-name libero_b200_bs512, fsdp_devices=4, keep_period=2000) = checkpoint path used by miranda-v2 steering scripts."
upstream/worktree-denoising-step-ablation,194609e,2026-04-06,Brandon Yang,4,none,low,yes,"Denoising-step ablation (MetaWorld); results JSON/figures unrelated to LIBERO steering."
upstream/rl-integration,08a1ae2,2026-05-02,Brandon Yang,12,low,none,no,"Filtered/preference BC pipelines incl. LIBERO pi0-FAST; no conceptor steering."
upstream/preference-bc,b234856,2026-04-23,Brandon Yang,9,low,none,no,"Preference BC / LoRA tests."
upstream/dp-integration,25b9071,2026-04-23,Brandon Yang,30,low,none,no,"Diffusion Policy integration; LIBERO DP eval results only."
upstream/worktree-dp-integration,710ccb5,2026-04-21,Brandon Yang,18,low,none,no,"Diffusion Policy port."
upstream/subin/dp_robocasa,c51bf17,2026-04-26,Subin Kim,104,none,medium,no,"DP RoboCasa incl. DP steering; no LIBERO."
upstream/subin/temp-droid-activation,16f231b,2026-04-10,Subin Kim,16,low,low,no,"DROID activation collection; carries LIBERO client files from main-era history."
upstream/temp-droid-activation,ab6e517,2026-04-09,Brandon Yang,15,low,low,no,"DROID --collect."
upstream/worktree-migrate,a6f3aa5,2026-04-18,Brandon Yang,5,low,none,no,"Test/serve_policy fixes."
upstream/worktree-robolab,50fab34,2026-04-12,Brandon Yang,7,none,none,no,"Robolab env reset fix."
upstream/metaworld-reorganization,a7ff5ce,2026-04-08,Brandon Yang,1,none,none,no,"MetaWorld example reorg."
upstream/revert-29-worktree-claude-features,e53c009,2026-04-13,Brandon Yang,1,none,none,no,"Revert of Claude automation."
upstream/setup-metaworld,0a9df72,2026-02-19,Brandon Yang,6,none,none,no,"Initial MetaWorld setup."
refs/pull/1..54 (50 PR heads),various,2026-02-19..2026-06-02,various,n/a,mixed,mixed,yes (searched),"Fetched to local refs/archaeology/pr/*; included in all history/pickaxe/artifact searches. No LIBERO steering result artifacts in any PR head."
